X,speech_id,GE_TROPE..0.1._MS,GE_GRAMMAR_MS,GE_WORK1_MS,GE_TROPE..0.1._SC,GE_GRAMMAR_SC,GE_WORK1_SC,GE_WORK2_SC,GE_TROPE_match,GE_GRAMMAR_match,GE_WORK1_match,GE_WORK2_match,include_for_coding,temporal_grammar_code,temporal_grammar_label,symbolic_work_primary_code,symbolic_work_primary_label,include_for_coding_gpt52,temporal_grammar_code_gpt52,temporal_grammar_label_gpt52,symbolic_work_primary_code_gpt52,symbolic_work_primary_label_gpt52,include_for_coding_o3,temporal_grammar_code_o3,temporal_grammar_label_o3,symbolic_work_primary_code_o3,symbolic_work_primary_label_o3
1,nl.proc.ob.d.h-tk-19941995-57-3517-3546.1.13.8,1,G5 Struggle (contestation),W2 Competitive positioning (political),1,G5 Struggle (contestation),W2 Competitive positioning (political),NA,1,1,1,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,NA,NA,NA,NA,NA,1,G1,Continuity — lineage / enduring similarity,W1,Governing legitimation — policy justification
2,nl.proc.ob.d.h-tk-19961997-1824-1893.1.9.24,0,NA,NA,1,G4 Debt (obligation/repair),W4 Moral memory (cultural),NA,0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — lineage / enduring similarity,W1,Governing legitimation — policy justification
3,nl.proc.ob.d.h-tk-19961997-4846-4860.1.9.5,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
4,nl.proc.ob.d.h-tk-19971998-474-487.1.7.3,0,NA,NA,1,G3 Break (novelty/incommensurable),W1 Governing legitimation (political),W4 Moral memory (cultural),0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G5,Other — Residual,W5,Other — Residual,1,G3,Break — Rupture / irrelevance,W1,Governing legitimation
5,nl.proc.ob.d.h-tk-19981999-2283-2322.1.7.31,1,G1 Continuity (lineage),W1 Governing legitimation (political),1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),NA,1,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
6,nl.proc.ob.d.h-tk-19981999-5249-5292.1.6.1,1,G5 Struggle (contestation),W2 Competitive positioning (political),1,G5 Struggle (contestation),W2 Competitive positioning (political),NA,1,1,1,NA,0,G5,Other,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — lineage / enduring similarity,W1,Governing legitimation — policy justification
7,nl.proc.ob.d.h-tk-20002001-387-430.1.9.53,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation
8,nl.proc.ob.d.h-tk-20042005-4474-4517.1.5.38,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W4,Moral memory — Moral evaluation/responsibility,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
9,nl.proc.ob.d.h-tk-20052006-1482-1506.1.9.1,0,NA,NA,1,G5 Struggle (contestation),W4 Moral memory (cultural),NA,0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G5,Other — Residual,W2,Competitive positioning — Actor-centred contestation,0,NA,NA,NA,NA
10,nl.proc.ob.d.h-tk-20052006-1507-1516.1.10.11,0,NA,NA,1,G5 Struggle (contestation),W2 Competitive positioning (political),W3 Identity & boundary making (cultural),0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation
11,nl.proc.ob.d.h-tk-20062007-897-919.1.10.1,0,NA,NA,1,G3 Break (novelty/incommensurable),W2 Competitive positioning (political),NA,0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G4,Struggle — Contestation over meaning/ownership/legitimate use,W2,Competitive positioning — Actor-centred contestation,1,G1,Continuity — lineage / enduring similarity,W2,Competitive positioning — actor-centred contestation
12,nl.proc.ob.d.h-tk-20062007-973-1000.1.17.1,1,G1 Continuity (lineage),W1 Governing legitimation (political),0,NA,NA,NA,0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G3,Break — Rupture / incommensurability / irrelevance,W1,Governing legitimation — Policy-centred justification,1,G3,Break — Rupture / incommensurability,W1,Governing legitimation — policy justification
13,nl.proc.ob.d.h-tk-20082009-6487-6508.1.13.60,NA,G1 Continuity (lineage),W2 Competitive positioning (political),1,G1 Continuity (lineage),W1 Governing legitimation (political),NA,NA,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,NA,NA,NA,NA,NA,1,G1,Continuity — lineage / enduring similarity,W1,Governing legitimation — policy justification
14,nl.proc.ob.d.h-tk-20092010-22-1865.1.12.49,1,G2 Return (restoration),W1 Governing legitimation (political),1,G2 Return (restoration),W2 Competitive positioning (political),NA,1,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G2,Return — Restoration / revival / recoverable model,W1,Governing legitimation — Policy-centred justification,1,G2,Return — Restoration / revival,W1,Governing legitimation
15,nl.proc.ob.d.h-tk-20102011-31-42.1.10.20,1,G2 Return (restoration),W1 Governing legitimation (political),1,G1 Continuity (lineage),W2 Competitive positioning (political),NA,1,0,0,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation
16,nl.proc.ob.d.h-tk-20112012-92-3.1.8.1,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G5,Other — Residual,W1,Governing legitimation — Policy-centred justification,0,NA,NA,NA,NA
17,nl.proc.ob.d.h-tk-20142015-29-3.1.26.1,1,G1 Continuity (lineage),W1 Governing legitimation (political),1,G1 Continuity (lineage),W2 Competitive positioning (political),NA,1,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning
18,nl.proc.ob.d.h-tk-20152016-2-7.1.504.1,1,G2 Return (restoration),W2 Competitive positioning (political),1,G2 Return (restoration),W2 Competitive positioning (political),W3 Identity & boundary making (cultural),1,1,1,NA,1,G2,Return — Restoration / revival / recoverable model,W1,Governing legitimation — Policy-centred justification,1,G2,Return — Restoration / revival / recoverable model,W1,Governing legitimation — Policy-centred justification,1,G2,Return — Restoration / revival,W1,Governing legitimation
19,nl.proc.ob.d.h-tk-20152016-98-34.1.102.1,1,G3 Break (novelty/incommensurable),W2 Competitive positioning (political),1,G1 Continuity (lineage),W2 Competitive positioning (political),NA,1,0,1,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation
20,nl.proc.ob.d.h-tk-20172018-107-21.1.28.1,1,NA,W4 Moral memory (cultural),1,G5 Struggle (contestation),W3 Identity & boundary making (cultural),W2 Competitive positioning (political),1,NA,0,NA,0,null,NA,null,NA,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation,1,G4,Struggle — Contestation over meaning/ownership,W2,Competitive positioning — Actor-centred contestation
21,nl.proc.ob.d.h-tk-20172018-93-4.1.81.1,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W2,Competitive positioning — Actor-centred contestation,NA,NA,NA,NA,NA,1,G4,Struggle — Contestation over meaning/ownership,W2,Competitive positioning
22,nl.proc.ob.d.h-tk-20182019-11-2.1.39.1,0,NA,NA,1,G5 Struggle (contestation),W3 Identity & boundary making (cultural),NA,0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
23,nl.proc.ob.d.h-tk-20192020-3-6.1.398.1,1,G5 Struggle (contestation),W2 Competitive positioning (political),1,G5 Struggle (contestation),W3 Identity & boundary making (cultural),NA,1,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G4,Struggle — Contestation over meaning/ownership/legitimate use,W3,Identity & boundary making — Group-centred definition,1,G4,Struggle — Contestation over meaning/ownership,W3,Identity & boundary making
24,nl.proc.ob.d.h-tk-20202021-43-4.1.330.1,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,null,NA,null,NA,1,G5,Other — Residual (use sparingly),W1,Governing legitimation — Policy-centred justification,0,NA,NA,NA,NA
25,nl.proc.ob.d.h-tk-20212022-2-2.1.80.1,1,G1 Continuity (lineage),W1 Governing legitimation (political),1,G5 Struggle (contestation),W3 Identity & boundary making (cultural),W2 Competitive positioning (political),1,0,0,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G4,Struggle — Contestation over meaning/ownership/legitimate use,W3,Identity & boundary making — Group-centred definition,1,G4,Struggle — Contestation over meaning/ownership,W3,Identity & boundary making
26,nl.proc.ob.d.h-tk-20232024-82-33.1.74.1,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,null,NA,null,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation
27,nl.proc.ob.d.h-tk-20242025-31-29.1.94.1,1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),W2 Competitive positioning (political),1,1,1,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making
28,nl.proc.ob.d.h-tk-20242025-83-4.1.159.1,1,G3 Break (novelty/incommensurable),W1 Governing legitimation (political),1,G2 Return (restoration),W3 Identity & boundary making (cultural),W2 Competitive positioning (political),1,0,0,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G2,Return — Restoration / revival,W1,Governing legitimation
29,nl.proc.sgd.d.194619470000453.3.2.53,0,NA,NA,1,G3 Break (novelty/incommensurable),W2 Competitive positioning (political),W3 Identity & boundary making (cultural),0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation
30,nl.proc.sgd.d.194819490000472.6.11,0,NA,NA,1,G1 Continuity (lineage),W1 Governing legitimation (political),W3 Identity & boundary making (cultural),0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
31,nl.proc.sgd.d.194819490000487.3.2,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation
32,nl.proc.sgd.d.195019510000605.5.4,0,NA,NA,1,G2 Return (restoration),W4 Moral memory (cultural),W2 Competitive positioning (political),0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,NA,NA,NA,NA,NA
33,nl.proc.sgd.d.195519560002069.2.2,1,G3 Break (novelty/incommensurable),W2 Competitive positioning (political),1,G3 Break (novelty/incommensurable),W2 Competitive positioning (political),NA,1,1,0,NA,0,G5,Other,W1,Governing legitimation,1,G3,Break — Rupture / incommensurability / irrelevance,W2,Competitive positioning — Actor-centred contestation,NA,NA,NA,NA,NA
34,nl.proc.sgd.d.195519560002070.2.11,1,G2 Return (restoration),W2 Competitive positioning (political),1,G1 Continuity (lineage),W2 Competitive positioning (political),W3 Identity & boundary making (cultural),1,0,1,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation,1,G2,Return — Restoration / revival / recoverable model,W2,Competitive positioning — Actor-centred contestation
35,nl.proc.sgd.d.195719580000241.2.8,1,G1 Continuity (lineage),W2 Competitive positioning (political),1,G1 Continuity (lineage),W2 Competitive positioning (political),NA,1,1,1,NA,0,G5,Other,W1,Governing legitimation,0,NA,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation
36,nl.proc.sgd.d.195719580000273.3.7,0,NA,NA,1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),NA,0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,NA,NA,NA,NA,NA
37,nl.proc.sgd.d.196119620001214.2.103,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,nl.proc.sgd.d.196219630000210.3.22,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W1,Governing legitimation,0,NA,NA,NA,NA,0,NA,NA,NA,NA
39,nl.proc.sgd.d.196319640000681.4.7,1,G1 Continuity (lineage),W4 Moral memory (cultural),1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),NA,1,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation
40,nl.proc.sgd.d.196419650000782.5.8,1,G5 Struggle (contestation),W2 Competitive positioning (political),0,NA,NA,NA,0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,0,NA,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
41,nl.proc.sgd.d.196919700000609.4.19,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W1,Governing legitimation,0,NA,NA,NA,NA,0,NA,NA,NA,NA
42,nl.proc.sgd.d.196919700000626.3.193,0,NA,NA,1,G3 Break (novelty/incommensurable),W1 Governing legitimation (political),NA,0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G5,Other — residual,W2,Competitive positioning — Actor-centred contestation
43,nl.proc.sgd.d.197219730000463.7.28,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G5,Other — Residual,W1,Governing legitimation — Policy-centred justification,1,G5,Other — residual use,W1,Governing legitimation — Policy-centred justification
44,nl.proc.sgd.d.197319740000722.4.4,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W1,Governing legitimation,0,NA,NA,NA,NA,0,NA,NA,NA,NA
45,nl.proc.sgd.d.197319740000729.3.47,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G4,Struggle — Contestation over meaning/ownership/legitimate use,W2,Competitive positioning — Actor-centred contestation,0,NA,NA,NA,NA
46,nl.proc.sgd.d.197419750000621.4.83,1,G5 Struggle (contestation),W2 Competitive positioning (political),1,G5 Struggle (contestation),W3 Identity & boundary making (cultural),NA,1,1,0,NA,1,G4,Struggle — Contestation over meaning/ownership/legitimate use,W4,Moral memory — Moral evaluation/responsibility,1,G4,Struggle — Contestation over meaning/ownership/legitimate use,W4,Moral memory — Moral evaluation/responsibility,1,G4,Struggle — Contestation over meaning/ownership,W3,Identity & boundary making — Group-centred definition
47,nl.proc.sgd.d.197419750000680.2.16.43,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W2,Competitive positioning — Actor-centred contestation,0,NA,NA,NA,NA,0,NA,NA,NA,NA
48,nl.proc.sgd.d.197519760000604.2.19.7,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G2,Return — Restoration / revival / recoverable model,W1,Governing legitimation — Policy-centred justification,1,G2,Return — Restoration / revival / recoverable model,W1,Governing legitimation — Policy-centred justification
49,nl.proc.sgd.d.197919800000767.1.3.2,1,G5 Struggle (contestation),W1 Governing legitimation (political),1,G3 Break (novelty/incommensurable),W2 Competitive positioning (political),NA,1,0,0,NA,1,G3,Break — Rupture / incommensurability / irrelevance,W4,Moral memory — Moral evaluation/responsibility,1,G2,Return — Restoration / revival / recoverable model,W2,Competitive positioning — Actor-centred contestation,1,G3,Break — Rupture / incommensurability,W2,Competitive positioning — Actor-centred contestation
50,nl.proc.sgd.d.198319840000836.4.3.1,0,NA,NA,1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),W2 Competitive positioning (political),0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G5,Other — Residual,W1,Governing legitimation — Policy-centred justification
51,nl.proc.sgd.d.198419850001005.3.18.1,1,G1 Continuity (lineage),W2 Competitive positioning (political),1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),NA,1,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition
52,nl.proc.sgd.d.198419850001034.2.25.1,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
53,nl.proc.sgd.d.198519860000784.4.12.5,0,NA,NA,1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),NA,0,NA,NA,NA,0,G5,Other,W2,Competitive positioning — Actor-centred contestation,0,NA,NA,NA,NA,1,G5,Other — Residual,W2,Competitive positioning — Actor-centred contestation
54,nl.proc.sgd.d.198519860000865.2.2.1,1,G5 Struggle (contestation),W1 Governing legitimation (political),1,G3 Break (novelty/incommensurable),W2 Competitive positioning (political),NA,1,0,0,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,NA,NA,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
55,nl.proc.sgd.d.198719880000796.6.3.99,1,G3 Break (novelty/incommensurable),W1 Governing legitimation (political),1,G5 Struggle (contestation),W2 Competitive positioning (political),W4 Moral memory (cultural),1,0,0,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,1,G4,Struggle — Contestation over meaning/ownership/legitimate use,W1,Governing legitimation — Policy-centred justification,1,G4,Struggle — Contestation over meaning/ownership,W1,Governing legitimation — Policy-centred justification
56,nl.proc.sgd.d.198719880000865.2.14.1,1,G1 Continuity (lineage),W1 Governing legitimation (political),1,G1 Continuity (lineage),W1 Governing legitimation (political),NA,1,1,1,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
57,nl.proc.sgd.d.199019910000885.2.3.1,1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),1,G1 Continuity (lineage),W1 Governing legitimation (political),NA,0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — enduring similarity,W3,Identity & boundary making
58,nl.proc.sgd.d.199419950000325.4.4.1,1,G3 Break (novelty/incommensurable),W1 Governing legitimation (political),1,G3 Break (novelty/incommensurable),W1 Governing legitimation (political),NA,1,1,1,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G3,Break — Rupture / incommensurability / irrelevance,W1,Governing legitimation — Policy-centred justification,1,G3,Break — Rupture / incommensurability,W1,Governing legitimation